lat,lon,flood_heig,elevation,precipitat,elevation_bin,precip_bin,flood_risk_index
14.61917544,121.0495994,0,42.9330215454,9.0,High,Low,0.9610634777699356
14.59077505,121.0588155,0,42.8373184204,9.0,High,Low,0.9621056120116809
14.59070107,121.1424602,0,0.0,0.0,Very Low,Very Low,1.0
14.64706669,121.0633794,0,62.7913284302,10.0,Very High,Low,0.7924406671661083
14.5622996,121.0496557,0,18.3568344116,8.0,Moderate,Low,1.181060415978652
14.64761628,121.0644025,0,63.6019172668,10.0,Very High,Low,0.7836139712499892
14.64664833,120.9774641,0,13.4103212357,8.0,Low,Low,1.2349241822647539
14.65245154,121.0711321,0,72.1060638428,11.0,Very High,Moderate,0.7386293307066026
14.64705891,121.0633365,0,62.7913284302,10.0,Very High,Low,0.7924406671661083
14.63332236,121.0702363,0,52.5322418213,10.0,Very High,Low,0.9041543175214665
14.7871457,121.0678921,0,74.2497253418,19.0,Very High,High,1.0962388683524675
14.66891789,121.1285958,0,34.5287971497,17.0,High,High,1.433531470339701
14.64243283,121.0945461,0,14.8908691406,13.0,Low,Moderate,1.4568973797449072
14.64326955,121.0691473,0,58.6569480896,11.0,Very High,Moderate,0.885079972183624
14.64325917,121.0691366,0,58.6569480896,11.0,Very High,Moderate,0.885079972183624
14.64675732,121.0678492,0,62.9480056763,11.0,Very High,Moderate,0.8383536187400877
14.65359257,121.0629944,0,62.8636283875,10.0,Very High,Low,0.7916533756207271
14.6524417,121.0689194,0,71.2519226074,11.0,Very High,Moderate,0.7479302791207422
14.65196681,121.0685948,0,71.2519226074,11.0,Very High,Moderate,0.7479302791207422
14.65196422,121.0685868,0,71.2519226074,11.0,Very High,Moderate,0.7479302791207422
14.65219777,121.068635,0,71.2519226074,11.0,Very High,Moderate,0.7479302791207422
14.52317247,121.0164366,0,13.1804542542,6.0,Low,Low,1.1421891636238728
14.56631963,121.0249588,0,9.97327899933,7.0,Low,Low,1.2247319104677699
14.52881038,121.0167678,0,8.94515037537,7.0,Low,Low,1.2359274492126873
14.62818846,121.0773701,0,30.4271450043,11.0,High,Moderate,1.1924810568704367
14.6018221,121.1076531,0,11.4487142563,12.0,Low,Moderate,1.4467607807953233
14.70572983,121.0210783,0,31.7705879211,11.0,High,Moderate,1.177851985296991
14.6163296,121.1113251,0,11.9897632599,13.0,Low,Moderate,1.4884882162740807
14.73141728,121.0524426,0,65.0312652588,14.0,Very High,Moderate,0.9585256492211485
14.64305157,120.9894321,0,21.0935211182,8.0,Moderate,Low,1.1512599792021416
14.55829912,121.0450916,0,24.0706062317,8.0,Moderate,Low,1.1188417866157607
14.6870982,121.0479928,0,56.1043243408,11.0,Very High,Moderate,0.9128761033435697
14.66243469,121.0164964,0,21.9129600525,9.0,Moderate,Low,1.1899559600722895
14.61665559,121.1092245,0,12.3427562714,13.0,Low,Moderate,1.4846443908568758
14.66099328,121.0665295,0,69.8663635254,11.0,Very High,Moderate,0.7630179637006694
14.65897965,121.0695229,0,72.5123748779,11.0,Very High,Moderate,0.7342049125648055
14.68091584,121.0887489,0,76.3566970825,14.0,Very High,Moderate,0.835200310513249
14.50541168,121.0278842,0,16.2054538727,7.0,Moderate,Low,1.1568682661397145
14.57645147,121.0273545,0,6.76014614105,8.0,Low,Low,1.3073395310815914
14.36687033,121.0387096,0,30.0082817078,11.0,High,Moderate,1.1970421595919305
14.63670485,121.0520746,0,50.626499176,9.0,Very High,Low,0.8772873578475235
14.6536767,121.0213324,0,27.5276565552,9.0,Moderate,Low,1.1288161855615708
14.58058062,121.0320441,0,9.76521873474,8.0,Low,Low,1.2746165761225485
14.59012093,121.0918818,0,10.6233959198,12.0,Low,Moderate,1.4557478697624486
14.66700502,121.0736255,0,71.04712677,12.0,Very High,Moderate,0.7977793976462668
14.67367919,120.9817158,0,14.0696563721,9.0,Low,Low,1.2753635717229186
14.64971225,121.1164345,0,27.6412982941,14.0,Moderate,Moderate,1.3656739515533727
14.55717885,121.0840175,0,6.53900527954,11.0,Low,Moderate,1.4526047297261353
14.54496125,121.1158661,0,5.95179271698,13.0,Low,Moderate,1.5542371231506982
14.52026732,121.0749712,0,5.68727064133,9.0,Low,Low,1.3666413768891807
14.51937411,121.0729005,0,6.21885538101,9.0,Low,Low,1.3608528233846868
14.64700126,121.0338387,0,36.9284820557,9.0,High,Low,1.0264483459038456
14.62797617,121.0821239,0,12.4665813446,11.0,Low,Moderate,1.3880579347500177
14.62800213,121.08214,0,12.4665813446,11.0,Low,Moderate,1.3880579347500177
14.62729621,121.0810993,0,11.1856298447,11.0,Low,Moderate,1.4020065223228975
14.6462435,121.0580725,0,60.2424049377,9.0,Very High,Low,0.7725774577302256
14.57662799,121.059588,0,43.9188652039,9.0,High,Low,0.9503283901379458
14.57818551,121.0612617,0,42.4162406921,9.0,High,Low,0.966690828211233
14.59202228,121.1064032,0,10.8565387726,12.0,Low,Moderate,1.4532091214183265
14.64085611,121.1016879,0,14.5955848694,13.0,Low,Moderate,1.460112800872131
14.55582368,121.0861847,0,6.56633234024,11.0,Low,Moderate,1.45230715881942
14.69973452,121.1060426,0,38.5715751648,16.0,High,High,1.3418896449763453
14.70059586,121.106284,0,33.9665641785,16.0,High,High,1.3920347121560892
14.70063737,121.1057476,0,37.7849807739,16.0,High,High,1.3504550596283922
14.56336268,121.0654137,0,16.5527076721,9.0,Moderate,Low,1.2483250316152668
14.664063,121.0688362,0,68.4841766357,11.0,Very High,Moderate,0.7780689276712586
14.57420603,121.0010353,0,7.00745439529,7.0,Low,Low,1.257027484670605
14.61340326,120.9942815,0,7.53836297989,8.0,Low,Low,1.2988653415997127
14.42858768,121.0101817,0,35.5562362671,8.0,High,Low,0.9937720112253713
14.42872535,121.0101495,0,35.3216438293,8.0,High,Low,0.9963265444476237
14.49015137,120.9858534,0,7.31955099106,6.0,Low,Low,1.206009942496818
14.53578852,121.0605348,0,6.42844057083,9.0,Low,Low,1.3585706000730227
14.53582747,121.0605133,0,6.42844057083,9.0,Low,Low,1.3585706000730227
14.53721911,121.0598884,0,6.58452749252,9.0,Low,Low,1.3568709322117927
14.6576251,120.9734032,0,14.0308008194,9.0,Low,Low,1.2757866791392187
14.58231807,120.9844861,0,10.0827713013,8.0,Low,Low,1.2711586701955866
14.57782852,121.032579,0,5.64391040802,8.0,Low,Low,1.319494489232124
14.59991824,120.999249,0,7.40075302124,8.0,Low,Low,1.3003638093865724
14.60009993,120.9989969,0,7.40075302124,8.0,Low,Low,1.3003638093865724
14.57829454,121.0346863,0,9.66927433014,8.0,Low,Low,1.2756613377156263
14.57813879,121.0326586,0,5.64391040802,8.0,Low,Low,1.319494489232124
14.57783631,121.033153,0,6.82900381088,8.0,Low,Low,1.3065897234286372
14.57792457,121.0336089,0,6.82900381088,8.0,Low,Low,1.3065897234286372
14.37034167,121.0542343,0,9.44065380096,11.0,Low,Moderate,1.4210079842522405
